cik,ticker,ipo_date,permno,crsp_ticker,siccd,crsp_start,crsp_end,matched
2054696,NIQ,2013-02-07,27018.0,NIQ,6733.0,2025-07-23,2025-12-31,True
712771,CNOB,2013-02-11,83642.0,CNOB,6022.0,2024-12-31,2025-12-31,True
1518621,ORC,2013-02-14,13775.0,ORC,6798.0,2024-12-31,2025-12-31,True
1562818,BIT,2013-02-25,13765.0,BIT,6722.0,2024-12-31,2025-12-31,True
1546296,IPDN,2013-03-05,13828.0,IPDN,7372.0,2024-12-31,2025-12-31,True
1517302,APAM,2013-03-06,13802.0,APAM,6282.0,2024-12-31,2025-12-31,True
1177648,ENTA,2013-03-20,13825.0,ENTA,2834.0,2024-12-31,2025-12-31,True
1166928,WSTC,2013-03-22,,,,,,False
1270436,MIE,2013-03-25,,,,,,False
1563696,ETX,2013-03-25,13808.0,ETX,6733.0,2024-12-31,2025-12-31,True
1562051,NML,2013-03-26,13817.0,NML,6282.0,2024-12-31,2025-12-31,True
776901,IBTX,2013-04-02,13877.0,IBTX,6022.0,2024-12-31,2025-01-02,True
1564180,KNOP,2013-04-09,13867.0,KNOP,4731.0,2024-12-31,2025-12-31,True
1562476,TMHC,2013-04-09,13862.0,TMHC,1521.0,2024-12-31,2025-12-31,True
1295401,WBB,2013-04-09,,,,,,False
1559865,EVTC,2013-04-11,13837.0,EVTC,8741.0,2024-12-31,2025-12-31,True
1561894,HASI,2013-04-17,13843.0,HASI,6141.0,2024-12-31,2025-12-31,True
1750704,HAWK,2013-04-18,,,,,,False
1566388,DSL,2013-04-25,13835.0,DSL,6799.0,2024-12-31,2025-12-31,True
1565381,DMB,2013-04-25,13836.0,DMB,6726.0,2024-12-31,2025-12-31,True
1560672,EARN,2013-05-01,13894.0,EARN,6798.0,2024-12-31,2025-12-31,True
1535929,VOYA,2013-05-01,13904.0,VOYA,6311.0,2024-12-31,2025-12-31,True
1745916,PFSI,2013-05-08,13908.0,PFSI,6162.0,2024-12-31,2025-12-31,True
2058873,Q,2013-05-08,27598.0,Q,7389.0,2025-11-03,2025-12-31,True
1746109,NBCB,2013-05-09,,,,,,False
2044009,CLACU,2013-05-10,,,,,,False
1383650,TEP,2013-05-13,,,,,,False
1563411,CSTM,2013-05-22,13917.0,CSTM,3341.0,2024-12-31,2025-12-31,True
1567569,FPF,2013-05-23,13897.0,FPF,6726.0,2024-12-31,2025-12-31,True
1559991,DFP,2013-05-23,13898.0,DFP,6722.0,2024-12-31,2025-12-31,True
932021,BRSS,2013-05-23,,,,,,False
